run,duration_s,path_m,min_nearest_obs_m,evasion_s,evasion_active_rows_x0.5s,n_replans,first_trigger_m,error
20260730_231905_cow,380.5,1459.5,,,0.0,0,,
20260730_232617_cow,153.6,915.3,20.6,35.0,34.5,32,59.9,
20260731_055701_cow,195.2,1357.0,,,0.0,0,,
20260731_060411_cow,205.8,1318.1,32.0,27.9,27.5,23,60.3,
20260731_060926_cow,464.2,1459.6,,,0.0,0,,
20260731_061815_cow,576.5,1465.4,29.6,28.2,28.0,23,60.1,
20260731_062851_cow,22314.9,1469.3,29.1,28.8,29.0,24,60.5,
20260731_123610_cow_evasion,277.8,4696116.3,,,0.0,0,,
20260731_124254_cow_evasion,158.9,1080.0,,,0.0,0,,
20260731_124652_cow_evasion,97.6,550.8,,,0.0,0,,
20260731_124956_cow_evasion,625.9,1459.7,,,0.0,0,,
20260731_130142_cow_evasion,130.2,162.8,,,0.0,0,,
20260731_130512_cow_evasion,370.5,491.1,,,0.0,0,,
20260731_131245_cow_evasion,230.8,491.1,,,0.0,0,,
20260731_131759_cow_evasion,693.1,491.0,,,0.0,0,,
20260731_133026_cow_evasion,849.4,491.0,,,0.0,0,,
20260731_134530_cow_evasion,419.1,491.1,,,0.0,0,,
20260731_135325_cow_evasion,1067.4,491.2,,,0.0,0,,
20260731_141208_cow_evasion,485.4,491.0,,,0.0,0,,
20260731_142110_cow_evasion,172.9,491.2,,,0.0,0,,
