ts,lat,lon,alt_msl,rel_alt,mode,armed,wp_idx,obs_count,nearest_obs_dist_m,evasion_active,evasion_path_len,evasion_path_idx
1785446818.7941253,42.229695,-1.235085,500.08,-0.013,STABILIZE,0,1,0,,0,0,0
1785446819.2975285,42.229695,-1.235085,500.08,0.006,GUIDED,1,1,0,,0,0,0
1785446819.7994835,42.229695,-1.235085,500.08,0.006,GUIDED,1,1,0,,0,0,0
1785446820.3017375,42.229695,-1.235085,500.08,0.006,GUIDED,1,1,0,,0,0,0
1785446820.803823,42.229695,-1.235085,500.08,0.006,GUIDED,1,1,0,,0,0,0
1785446821.3067129,42.229695,-1.235085,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785446821.808207,42.229695,-1.235085,500.08,0.007,GUIDED,1,1,0,,0,0,0
1785446822.3106425,42.229695,-1.235085,500.09,0.017,GUIDED,1,1,0,,0,0,0
1785446822.812415,42.229695,-1.235085,500.22,0.141,GUIDED,1,1,0,,0,0,0
1785446823.3151145,42.229695,-1.235085,500.75,0.67,GUIDED,1,1,0,,0,0,0
1785446823.816884,42.229695,-1.2350849,501.44,1.361,GUIDED,1,1,0,,0,0,0
1785446824.3188515,42.229695,-1.2350848,502.6,2.525,GUIDED,1,1,0,,0,0,0
1785446824.8218138,42.229695,-1.2350848,503.83,3.75,GUIDED,1,1,0,,0,0,0
1785446825.3238757,42.229695,-1.2350848,505.1,5.027,GUIDED,1,1,0,,0,0,0
1785446825.8254807,42.229695,-1.2350848,506.36,6.282,GUIDED,1,1,0,,0,0,0
1785446826.3272192,42.229695,-1.2350848,507.6,7.52,GUIDED,1,1,0,,0,0,0
1785446826.829756,42.229695,-1.2350848,509.08,9.008,GUIDED,1,1,0,,0,0,0
1785446827.3321145,42.229695,-1.2350848,510.33,10.252,GUIDED,1,1,0,,0,0,0
1785446827.833722,42.229695,-1.2350848,511.57,11.498,GUIDED,1,1,0,,0,0,0
1785446828.3360074,42.229695,-1.2350848,512.82,12.742,GUIDED,1,1,0,,0,0,0
1785446828.8386207,42.229695,-1.2350848,514.07,13.992,GUIDED,1,1,0,,0,0,0
1785446829.341196,42.229695,-1.2350848,515.57,15.492,GUIDED,1,1,0,,0,0,0
1785446829.8448768,42.229695,-1.2350848,516.82,16.741,GUIDED,1,1,0,,0,0,0
1785446830.3466153,42.229695,-1.2350848,518.04,17.965,GUIDED,1,1,0,,0,0,0
1785446830.8484278,42.229695,-1.2350848,519.16,19.087,GUIDED,1,1,0,,0,0,0
1785446831.3500865,42.229695,-1.2350848,520.32,20.244,GUIDED,1,1,0,,0,0,0
1785446831.8516655,42.229695,-1.2350848,521.13,21.052,GUIDED,1,1,0,,0,0,0
1785446832.353556,42.229695,-1.2350848,521.8,21.725,GUIDED,1,1,0,,0,0,0
1785446832.8568494,42.229695,-1.2350848,522.34,22.265,GUIDED,1,2,0,,0,0,0
1785446833.360046,42.2296938,-1.2350838,522.74,22.662,GUIDED,1,2,0,,0,0,0
1785446833.8635657,42.2296884,-1.235079,522.8,22.729,GUIDED,1,2,0,,0,0,0
1785446834.3668742,42.2296779,-1.2350699,522.78,22.706,GUIDED,1,2,0,,0,0,0
1785446834.8702025,42.2296626,-1.2350567,522.77,22.694,GUIDED,1,2,0,,0,0,0
1785446835.3750837,42.2296382,-1.2350355,522.78,22.705,GUIDED,1,2,0,,0,0,0
1785446835.8780727,42.229613,-1.2350136,522.8,22.72,GUIDED,1,2,0,,0,0,0
1785446836.381053,42.2295849,-1.2349891,522.81,22.739,GUIDED,1,2,0,,0,0,0
1785446836.8840716,42.2295556,-1.2349633,522.83,22.752,GUIDED,1,2,0,,0,0,0
1785446837.3875353,42.2295254,-1.2349368,522.84,22.761,GUIDED,1,2,0,,0,0,0
1785446837.8915331,42.2294887,-1.2349045,522.85,22.772,GUIDED,1,2,0,,0,0,0
